searchDate,queriedStationId,arrivalDate,depatureDate,routeId,vehId,stationId
2025-11-15,206000908,2025-11-15 06:56,2025-11-15 06:56,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 06:59,2025-11-15 07:00,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 07:14,2025-11-15 07:14,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 07:26,2025-11-15 07:25,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 07:32,2025-11-15 07:32,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 07:47,2025-11-15 07:47,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 07:55,2025-11-15 07:55,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 08:04,2025-11-15 08:04,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 08:18,2025-11-15 08:18,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 08:24,2025-11-15 08:24,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 08:38,2025-11-15 08:37,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 08:44,2025-11-15 08:44,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 08:56,2025-11-15 08:56,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 09:04,2025-11-15 09:04,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 09:18,2025-11-15 09:18,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 09:24,2025-11-15 09:24,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 09:26,2025-11-15 09:26,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 09:36,2025-11-15 09:37,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 09:54,2025-11-15 09:54,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 09:56,2025-11-15 09:56,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 10:11,2025-11-15 10:11,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 10:17,2025-11-15 10:17,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 10:27,2025-11-15 10:28,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 10:39,2025-11-15 10:39,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 10:58,2025-11-15 10:58,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 11:05,2025-11-15 11:06,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 11:17,2025-11-15 11:17,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 11:25,2025-11-15 11:25,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 11:28,2025-11-15 11:28,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 11:37,2025-11-15 11:37,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 11:57,2025-11-15 11:57,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 12:05,2025-11-15 12:05,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 12:18,2025-11-15 12:18,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 12:32,2025-11-15 12:32,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 12:35,2025-11-15 12:35,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 12:49,2025-11-15 12:49,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 12:59,2025-11-15 13:00,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 13:09,2025-11-15 13:09,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 13:16,2025-11-15 13:17,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 13:21,2025-11-15 13:21,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 13:29,2025-11-15 13:29,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 13:38,2025-11-15 13:39,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 13:54,2025-11-15 13:54,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 14:04,2025-11-15 14:04,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 14:07,2025-11-15 14:08,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 14:17,2025-11-15 14:17,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 14:30,2025-11-15 14:31,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 14:45,2025-11-15 14:45,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 14:52,2025-11-15 14:52,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 14:58,2025-11-15 14:58,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 15:15,2025-11-15 15:15,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 15:19,2025-11-15 15:19,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 15:34,2025-11-15 15:35,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 15:43,2025-11-15 15:43,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 15:54,2025-11-15 15:54,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 16:03,2025-11-15 16:04,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 16:14,2025-11-15 16:15,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 16:23,2025-11-15 16:23,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 16:37,2025-11-15 16:37,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 16:47,2025-11-15 16:47,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 16:59,2025-11-15 17:00,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 17:04,2025-11-15 17:04,241219001,289001430,206000908
2025-11-15,206000908,2025-11-15 17:18,2025-11-15 17:18,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 17:26,2025-11-15 17:26,241219001,289003843,206000908
2025-11-15,206000908,2025-11-15 17:35,2025-11-15 17:35,241219001,289001440,206000908
2025-11-15,206000908,2025-11-15 17:47,2025-11-15 17:47,241219001,289003843,206000908
