arrivalDate,day_of_week,is_weekend,is_commute,hour,minute,trip_id,vehicle,station,road_id,bus_line
2025-11-01 07:08:00,5,1,0,7,8,0,0,2,2,1
2025-11-01 07:09:00,5,1,0,7,9,0,0,3,2,1
2025-11-01 07:12:00,5,1,0,7,12,0,0,4,3,1
2025-11-01 07:13:00,5,1,0,7,13,0,0,5,3,1
2025-11-01 07:13:00,5,1,0,7,13,0,0,6,4,1
2025-11-01 07:15:00,5,1,0,7,15,0,0,7,4,1
2025-11-01 07:15:00,5,1,0,7,15,0,0,8,5,1
2025-11-01 07:16:00,5,1,0,7,16,0,0,9,5,1
2025-11-01 07:16:00,5,1,0,7,16,0,0,10,6,1
2025-11-01 07:17:00,5,1,0,7,17,0,0,11,6,1
2025-11-01 07:17:00,5,1,0,7,17,0,0,12,6,1
2025-11-01 07:18:00,5,1,0,7,18,0,0,13,7,1
2025-11-01 07:21:00,5,1,0,7,21,0,0,14,7,0
2025-11-01 07:21:00,5,1,0,7,21,0,0,15,8,0
2025-11-01 07:22:00,5,1,0,7,22,0,0,16,8,0
2025-11-01 07:22:00,5,1,0,7,22,0,0,17,8,0
2025-11-01 07:23:00,5,1,0,7,23,0,0,18,9,0
2025-11-01 07:24:00,5,1,0,7,24,0,0,19,9,0
2025-11-01 07:24:00,5,1,0,7,24,0,0,20,10,0
2025-11-01 07:28:00,5,1,0,7,28,1,0,2,2,1
2025-11-01 07:28:00,5,1,0,7,28,1,0,3,2,1
2025-11-01 07:30:00,5,1,0,7,30,1,0,4,3,1
2025-11-01 07:31:00,5,1,0,7,31,1,0,5,3,1
2025-11-01 07:31:00,5,1,0,7,31,1,0,6,4,1
2025-11-01 07:33:00,5,1,0,7,33,1,0,7,4,1
2025-11-01 07:33:00,5,1,0,7,33,1,0,8,5,1
2025-11-01 07:34:00,5,1,0,7,34,1,0,9,5,1
2025-11-01 07:35:00,5,1,0,7,35,1,0,10,6,1
2025-11-01 07:35:00,5,1,0,7,35,1,0,11,6,1
2025-11-01 07:35:00,5,1,0,7,35,1,0,12,6,1
2025-11-01 07:36:00,5,1,0,7,36,1,0,13,7,1
2025-11-01 07:39:00,5,1,0,7,39,1,0,14,7,0
2025-11-01 07:39:00,5,1,0,7,39,1,0,15,8,0
2025-11-01 07:40:00,5,1,0,7,40,1,0,16,8,0
2025-11-01 07:40:00,5,1,0,7,40,1,0,17,8,0
2025-11-01 07:41:00,5,1,0,7,41,1,0,18,9,0
2025-11-01 07:43:00,5,1,0,7,43,1,0,19,9,0
2025-11-01 07:43:00,5,1,0,7,43,1,0,20,10,0
2025-11-01 07:43:00,5,1,0,7,43,1,0,21,11,0
2025-11-01 07:48:00,5,1,0,7,48,2,0,2,2,1
2025-11-01 07:48:00,5,1,0,7,48,2,0,3,2,1
2025-11-01 07:51:00,5,1,0,7,51,2,0,4,3,1
2025-11-01 07:52:00,5,1,0,7,52,2,0,5,3,1
2025-11-01 07:52:00,5,1,0,7,52,2,0,6,4,1
2025-11-01 07:54:00,5,1,0,7,54,2,0,7,4,1
2025-11-01 07:54:00,5,1,0,7,54,2,0,8,5,1
2025-11-01 07:55:00,5,1,0,7,55,2,0,9,5,1
2025-11-01 07:56:00,5,1,0,7,56,2,0,10,6,1
2025-11-01 07:56:00,5,1,0,7,56,2,0,11,6,1
2025-11-01 07:57:00,5,1,0,7,57,2,0,12,6,1
2025-11-01 07:57:00,5,1,0,7,57,2,0,13,7,1
2025-11-01 08:00:00,5,1,0,8,0,2,0,14,7,0
2025-11-01 08:00:00,5,1,0,8,0,2,0,15,8,0
2025-11-01 08:01:00,5,1,0,8,1,2,0,16,8,0
2025-11-01 08:01:00,5,1,0,8,1,2,0,17,8,0
2025-11-01 08:02:00,5,1,0,8,2,2,0,18,9,0
2025-11-01 08:03:00,5,1,0,8,3,2,0,19,9,0
2025-11-01 08:03:00,5,1,0,8,3,2,0,20,10,0
2025-11-01 08:05:00,5,1,0,8,5,2,0,21,11,0
2025-11-01 08:07:00,5,1,0,8,7,3,0,2,2,1
2025-11-01 08:08:00,5,1,0,8,8,3,0,3,2,1
2025-11-01 08:09:00,5,1,0,8,9,3,0,4,3,1
2025-11-01 08:10:00,5,1,0,8,10,3,0,5,3,1
2025-11-01 08:10:00,5,1,0,8,10,3,0,6,4,1
2025-11-01 08:12:00,5,1,0,8,12,3,0,7,4,1
2025-11-01 08:13:00,5,1,0,8,13,3,0,8,5,1
2025-11-01 08:13:00,5,1,0,8,13,3,0,9,5,1
2025-11-01 08:14:00,5,1,0,8,14,3,0,10,6,1
2025-11-01 08:14:00,5,1,0,8,14,3,0,11,6,1
2025-11-01 08:15:00,5,1,0,8,15,3,0,12,6,1
2025-11-01 08:15:00,5,1,0,8,15,3,0,13,7,1
2025-11-01 08:18:00,5,1,0,8,18,3,0,14,7,0
2025-11-01 08:18:00,5,1,0,8,18,3,0,15,8,0
2025-11-01 08:19:00,5,1,0,8,19,3,0,16,8,0
2025-11-01 08:19:00,5,1,0,8,19,3,0,17,8,0
2025-11-01 08:20:00,5,1,0,8,20,3,0,18,9,0
2025-11-01 08:21:00,5,1,0,8,21,3,0,19,9,0
2025-11-01 08:22:00,5,1,0,8,22,3,0,20,10,0
2025-11-01 08:23:00,5,1,0,8,23,3,0,21,11,0
2025-11-01 09:18:00,5,1,0,9,18,4,0,2,2,1
2025-11-01 09:18:00,5,1,0,9,18,4,0,3,2,1
2025-11-01 09:21:00,5,1,0,9,21,4,0,4,3,1
2025-11-01 09:22:00,5,1,0,9,22,4,0,5,3,1
2025-11-01 09:22:00,5,1,0,9,22,4,0,6,4,1
2025-11-01 09:24:00,5,1,0,9,24,4,0,7,4,1
2025-11-01 09:24:00,5,1,0,9,24,4,0,8,5,1
2025-11-01 09:25:00,5,1,0,9,25,4,0,9,5,1
2025-11-01 09:27:00,5,1,0,9,27,4,0,10,6,1
2025-11-01 09:28:00,5,1,0,9,28,4,0,11,6,1
2025-11-01 09:29:00,5,1,0,9,29,4,0,12,6,1
2025-11-01 09:30:00,5,1,0,9,30,4,0,13,7,1
2025-11-01 09:33:00,5,1,0,9,33,4,0,14,7,0
2025-11-01 09:34:00,5,1,0,9,34,4,0,15,8,0
2025-11-01 09:34:00,5,1,0,9,34,4,0,16,8,0
2025-11-01 09:34:00,5,1,0,9,34,4,0,17,8,0
2025-11-01 09:35:00,5,1,0,9,35,4,0,18,9,0
2025-11-01 09:37:00,5,1,0,9,37,4,0,19,9,0
2025-11-01 09:37:00,5,1,0,9,37,4,0,20,10,0
2025-11-01 09:48:00,5,1,0,9,48,5,0,2,2,1
2025-11-01 09:48:00,5,1,0,9,48,5,0,3,2,1
2025-11-01 09:51:00,5,1,0,9,51,5,0,4,3,1
2025-11-01 09:52:00,5,1,0,9,52,5,0,5,3,1
2025-11-01 09:52:00,5,1,0,9,52,5,0,6,4,1
2025-11-01 09:54:00,5,1,0,9,54,5,0,7,4,1
2025-11-01 09:57:00,5,1,0,9,57,5,0,8,5,1
2025-11-01 09:58:00,5,1,0,9,58,5,0,9,5,1
2025-11-01 09:59:00,5,1,0,9,59,5,0,10,6,1
2025-11-01 09:59:00,5,1,0,9,59,5,0,11,6,1
2025-11-01 10:00:00,5,1,0,10,0,5,0,12,6,1
2025-11-01 10:02:00,5,1,0,10,2,5,0,13,7,1
2025-11-01 10:03:00,5,1,0,10,3,5,0,14,7,0
2025-11-01 10:04:00,5,1,0,10,4,5,0,15,8,0
2025-11-01 10:04:00,5,1,0,10,4,5,0,16,8,0
2025-11-01 10:04:00,5,1,0,10,4,5,0,17,8,0
2025-11-01 10:05:00,5,1,0,10,5,5,0,18,9,0
2025-11-01 10:06:00,5,1,0,10,6,5,0,19,9,0
2025-11-01 10:07:00,5,1,0,10,7,5,0,20,10,0
2025-11-01 10:08:00,5,1,0,10,8,5,0,21,11,0
2025-11-01 10:18:00,5,1,0,10,18,6,0,2,2,1
2025-11-01 10:19:00,5,1,0,10,19,6,0,3,2,1
2025-11-01 10:21:00,5,1,0,10,21,6,0,4,3,1
2025-11-01 10:22:00,5,1,0,10,22,6,0,5,3,1
2025-11-01 10:22:00,5,1,0,10,22,6,0,6,4,1
2025-11-01 10:24:00,5,1,0,10,24,6,0,7,4,1
